Year,Manufacturing value added (% of GDP)
1961,15.35383648
1962,15.86329813
1963,15.75238835
1964,14.85073996
1965,15.01090777
1966,14.50399297
1967,13.23186125
1968,13.52278801
1969,14.14647158
1970,14.45654509
1971,14.98228674
1972,15.10254938
1973,15.01528531
1974,16.34591338
1975,15.83848666
1976,16.26588883
1977,16.08086893
1978,17.09644052
1979,17.85203449
1980,16.7523758
1981,16.77044375
1982,16.36999594
1983,16.66445469
1984,16.7078036
1985,16.41801286
1986,16.22158381
1987,16.20954935
1988,16.10153485
1989,16.9028459
1990,16.59759644
1991,15.67626016
1992,15.80079982
1993,15.91571211
1994,16.76413813
1995,17.8658506
1996,17.5963408
1997,16.51857853
1998,15.71931602
1999,15.18053671
2000,15.92702302
2001,15.30702128
2002,15.55870173
2003,15.58738665
2004,15.82724574
2005,15.97301704
2006,17.30365333
2007,16.86456778
2008,17.09867415
2009,17.14357767
2010,17.02993425
2011,16.13933744
2012,15.81692301
2013,15.25302269
2014,15.06557011
2015,15.58385459
2016,15.16223713
2017,15.01823875
2018,14.88153067
2019,13.47361811
2020,13.68338529
2021,14.07022547
