Year,Industry (including construction)
1961,21.43484397
1962,22.05260014
1963,21.87947583
1964,20.95528854
1965,21.65510507
1966,21.38661717
1967,20.08944288
1968,20.62711566
1969,21.41748463
1970,21.72930929
1971,22.39200791
1972,22.40800259
1973,21.34823029
1974,22.6756934
1975,23.20125208
1976,24.48052342
1977,24.40026254
1978,25.32441961
1979,25.99220623
1980,25.3362459
1981,26.10291921
1982,26.14980479
1983,26.29884329
1984,26.73913865
1985,26.62907122
1986,26.73083582
1987,26.69923652
1988,26.71158382
1989,27.55099348
1990,27.4536955
1991,26.44172018
1992,26.79274327
1993,26.78155428
1994,27.62820125
1995,28.59980942
1996,27.91227037
1997,27.83703076
1998,27.30303785
1999,26.51929335
2000,27.32582838
2001,26.48777734
2002,27.66065416
2003,27.47410712
2004,29.21910631
2005,29.53376419
2006,30.92723994
2007,30.90323825
2008,31.13671924
2009,31.12137211
2010,30.72507823
2011,30.16167976
2012,29.3985277
2013,28.40489956
2014,27.6564012
2015,27.34739148
2016,26.61899994
2017,26.50001665
2018,26.4120919
2019,24.59645788
2020,24.53106619
2021,25.87180102
